horizon,window,k,mode,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg
30,60,10,auto,14,nan,nan,nan,nan,0.0
30,60,10,hybrid,14,nan,nan,nan,nan,0.0
30,60,10,retrieval,14,nan,nan,nan,nan,0.0
30,60,15,auto,14,nan,nan,nan,nan,0.0
30,60,15,hybrid,14,nan,nan,nan,nan,0.0
30,60,15,retrieval,14,nan,nan,nan,nan,0.0
30,60,20,auto,14,nan,nan,nan,nan,0.0
30,60,20,hybrid,14,nan,nan,nan,nan,0.0
30,60,20,retrieval,14,nan,nan,nan,nan,0.0
30,120,10,auto,14,nan,nan,nan,nan,0.0
30,120,10,hybrid,14,nan,nan,nan,nan,0.0
30,120,10,retrieval,14,nan,nan,nan,nan,0.0
30,120,15,auto,14,nan,nan,nan,nan,0.0
30,120,15,hybrid,14,nan,nan,nan,nan,0.0
30,120,15,retrieval,14,nan,nan,nan,nan,0.0
30,120,20,auto,14,nan,nan,nan,nan,0.0
30,120,20,hybrid,14,nan,nan,nan,nan,0.0
30,120,20,retrieval,14,nan,nan,nan,nan,0.0
30,169,10,auto,1,nan,nan,nan,nan,0.0
30,169,10,hybrid,1,nan,nan,nan,nan,0.0
30,169,10,retrieval,1,nan,nan,nan,nan,0.0
30,169,15,auto,1,nan,nan,nan,nan,0.0
30,169,15,hybrid,1,nan,nan,nan,nan,0.0
30,169,15,retrieval,1,nan,nan,nan,nan,0.0
30,169,20,auto,1,nan,nan,nan,nan,0.0
30,169,20,hybrid,1,nan,nan,nan,nan,0.0
30,169,20,retrieval,1,nan,nan,nan,nan,0.0
30,180,10,auto,13,nan,nan,nan,nan,0.0
30,180,10,hybrid,13,nan,nan,nan,nan,0.0
30,180,10,retrieval,13,nan,nan,nan,nan,0.0
30,180,15,auto,13,nan,nan,nan,nan,0.0
30,180,15,hybrid,13,nan,nan,nan,nan,0.0
30,180,15,retrieval,13,nan,nan,nan,nan,0.0
30,180,20,auto,13,nan,nan,nan,nan,0.0
30,180,20,hybrid,13,nan,nan,nan,nan,0.0
30,180,20,retrieval,13,nan,nan,nan,nan,0.0
30,358,10,auto,1,nan,nan,nan,nan,0.0
30,358,10,hybrid,1,nan,nan,nan,nan,0.0
30,358,10,retrieval,1,nan,nan,nan,nan,0.0
30,358,15,auto,1,nan,nan,nan,nan,0.0
30,358,15,hybrid,1,nan,nan,nan,nan,0.0
30,358,15,retrieval,1,nan,nan,nan,nan,0.0
30,358,20,auto,1,nan,nan,nan,nan,0.0
30,358,20,hybrid,1,nan,nan,nan,nan,0.0
30,358,20,retrieval,1,nan,nan,nan,nan,0.0
30,360,10,auto,1,nan,nan,nan,nan,0.0
30,360,10,hybrid,1,nan,nan,nan,nan,0.0
30,360,10,retrieval,1,nan,nan,nan,nan,0.0
30,360,15,auto,1,nan,nan,nan,nan,0.0
30,360,15,hybrid,1,nan,nan,nan,nan,0.0
30,360,15,retrieval,1,nan,nan,nan,nan,0.0
30,360,20,auto,1,nan,nan,nan,nan,0.0
30,360,20,hybrid,1,nan,nan,nan,nan,0.0
30,360,20,retrieval,1,nan,nan,nan,nan,0.0
30,367,10,auto,1,nan,nan,nan,nan,0.0
30,367,10,hybrid,1,nan,nan,nan,nan,0.0
30,367,10,retrieval,1,nan,nan,nan,nan,0.0
30,367,15,auto,1,nan,nan,nan,nan,0.0
30,367,15,hybrid,1,nan,nan,nan,nan,0.0
30,367,15,retrieval,1,nan,nan,nan,nan,0.0
30,367,20,auto,1,nan,nan,nan,nan,0.0
30,367,20,hybrid,1,nan,nan,nan,nan,0.0
30,367,20,retrieval,1,nan,nan,nan,nan,0.0
30,374,10,auto,2,nan,nan,nan,nan,0.0
30,374,10,hybrid,2,nan,nan,nan,nan,0.0
30,374,10,retrieval,2,nan,nan,nan,nan,0.0
30,374,15,auto,2,nan,nan,nan,nan,0.0
30,374,15,hybrid,2,nan,nan,nan,nan,0.0
30,374,15,retrieval,2,nan,nan,nan,nan,0.0
30,374,20,auto,2,nan,nan,nan,nan,0.0
30,374,20,hybrid,2,nan,nan,nan,nan,0.0
30,374,20,retrieval,2,nan,nan,nan,nan,0.0
30,375,10,auto,6,nan,nan,nan,nan,0.0
30,375,10,hybrid,6,nan,nan,nan,nan,0.0
30,375,10,retrieval,6,nan,nan,nan,nan,0.0
30,375,15,auto,6,nan,nan,nan,nan,0.0
30,375,15,hybrid,6,nan,nan,nan,nan,0.0
30,375,15,retrieval,6,nan,nan,nan,nan,0.0
30,375,20,auto,6,nan,nan,nan,nan,0.0
30,375,20,hybrid,6,nan,nan,nan,nan,0.0
30,375,20,retrieval,6,nan,nan,nan,nan,0.0
60,60,10,auto,14,nan,nan,nan,nan,0.0
60,60,10,hybrid,14,nan,nan,nan,nan,0.0
60,60,10,retrieval,14,nan,nan,nan,nan,0.0
60,60,15,auto,14,nan,nan,nan,nan,0.0
60,60,15,hybrid,14,nan,nan,nan,nan,0.0
60,60,15,retrieval,14,nan,nan,nan,nan,0.0
60,60,20,auto,14,nan,nan,nan,nan,0.0
60,60,20,hybrid,14,nan,nan,nan,nan,0.0
60,60,20,retrieval,14,nan,nan,nan,nan,0.0
60,120,10,auto,14,nan,nan,nan,nan,0.0
60,120,10,hybrid,14,nan,nan,nan,nan,0.0
60,120,10,retrieval,14,nan,nan,nan,nan,0.0
60,120,15,auto,14,nan,nan,nan,nan,0.0
60,120,15,hybrid,14,nan,nan,nan,nan,0.0
60,120,15,retrieval,14,nan,nan,nan,nan,0.0
60,120,20,auto,14,nan,nan,nan,nan,0.0
60,120,20,hybrid,14,nan,nan,nan,nan,0.0
60,120,20,retrieval,14,nan,nan,nan,nan,0.0
60,169,10,auto,1,nan,nan,nan,nan,0.0
60,169,10,hybrid,1,nan,nan,nan,nan,0.0
60,169,10,retrieval,1,nan,nan,nan,nan,0.0
60,169,15,auto,1,nan,nan,nan,nan,0.0
60,169,15,hybrid,1,nan,nan,nan,nan,0.0
60,169,15,retrieval,1,nan,nan,nan,nan,0.0
60,169,20,auto,1,nan,nan,nan,nan,0.0
60,169,20,hybrid,1,nan,nan,nan,nan,0.0
60,169,20,retrieval,1,nan,nan,nan,nan,0.0
60,180,10,auto,13,nan,nan,nan,nan,0.0
60,180,10,hybrid,13,nan,nan,nan,nan,0.0
60,180,10,retrieval,13,nan,nan,nan,nan,0.0
60,180,15,auto,13,nan,nan,nan,nan,0.0
60,180,15,hybrid,13,nan,nan,nan,nan,0.0
60,180,15,retrieval,13,nan,nan,nan,nan,0.0
60,180,20,auto,13,nan,nan,nan,nan,0.0
60,180,20,hybrid,13,nan,nan,nan,nan,0.0
60,180,20,retrieval,13,nan,nan,nan,nan,0.0
60,358,10,auto,1,nan,nan,nan,nan,0.0
60,358,10,hybrid,1,nan,nan,nan,nan,0.0
60,358,10,retrieval,1,nan,nan,nan,nan,0.0
60,358,15,auto,1,nan,nan,nan,nan,0.0
60,358,15,hybrid,1,nan,nan,nan,nan,0.0
60,358,15,retrieval,1,nan,nan,nan,nan,0.0
60,358,20,auto,1,nan,nan,nan,nan,0.0
60,358,20,hybrid,1,nan,nan,nan,nan,0.0
60,358,20,retrieval,1,nan,nan,nan,nan,0.0
60,360,10,auto,1,nan,nan,nan,nan,0.0
60,360,10,hybrid,1,nan,nan,nan,nan,0.0
60,360,10,retrieval,1,nan,nan,nan,nan,0.0
60,360,15,auto,1,nan,nan,nan,nan,0.0
60,360,15,hybrid,1,nan,nan,nan,nan,0.0
60,360,15,retrieval,1,nan,nan,nan,nan,0.0
60,360,20,auto,1,nan,nan,nan,nan,0.0
60,360,20,hybrid,1,nan,nan,nan,nan,0.0
60,360,20,retrieval,1,nan,nan,nan,nan,0.0
60,367,10,auto,1,nan,nan,nan,nan,0.0
60,367,10,hybrid,1,nan,nan,nan,nan,0.0
60,367,10,retrieval,1,nan,nan,nan,nan,0.0
60,367,15,auto,1,nan,nan,nan,nan,0.0
60,367,15,hybrid,1,nan,nan,nan,nan,0.0
60,367,15,retrieval,1,nan,nan,nan,nan,0.0
60,367,20,auto,1,nan,nan,nan,nan,0.0
60,367,20,hybrid,1,nan,nan,nan,nan,0.0
60,367,20,retrieval,1,nan,nan,nan,nan,0.0
60,374,10,auto,2,nan,nan,nan,nan,0.0
60,374,10,hybrid,2,nan,nan,nan,nan,0.0
60,374,10,retrieval,2,nan,nan,nan,nan,0.0
60,374,15,auto,2,nan,nan,nan,nan,0.0
60,374,15,hybrid,2,nan,nan,nan,nan,0.0
60,374,15,retrieval,2,nan,nan,nan,nan,0.0
60,374,20,auto,2,nan,nan,nan,nan,0.0
60,374,20,hybrid,2,nan,nan,nan,nan,0.0
60,374,20,retrieval,2,nan,nan,nan,nan,0.0
60,375,10,auto,6,nan,nan,nan,nan,0.0
60,375,10,hybrid,6,nan,nan,nan,nan,0.0
60,375,10,retrieval,6,nan,nan,nan,nan,0.0
60,375,15,auto,6,nan,nan,nan,nan,0.0
60,375,15,hybrid,6,nan,nan,nan,nan,0.0
60,375,15,retrieval,6,nan,nan,nan,nan,0.0
60,375,20,auto,6,nan,nan,nan,nan,0.0
