horizon,window,k,mode,scale,distance_metric,weight_mode,recent_gamma,regime_tolerance,regime_penalty,ann_use,ann_space,ann_max_candidates,n,coverage_avg,band_width_avg,mae_avg,bias_avg,samples_avg,ann_total_windows_avg,ann_shortlisted_avg,latency_ms_avg,baseline_latency_ms_avg,ann_speedup_avg,ann_q50_mad_avg,ann_build_ms_avg,ann_index_mem_bytes_avg,ann_prune_ratio_avg,ann_effectiveness_avg
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,9.618816570060517,9.618816570060517,21.0,23.0,23.0,410.0,3.0,0.007317073170731708,0.0,406.0,11040.0,1.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.984379902234363,-3.401234912963254,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.951769570361928,0.7528553357577195,60.0,0.0,24.0,3.0,2.0,0.6666666666666666,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,4.529902661036527,4.5289467200893885,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,3.3139083444457773,1.8138802872953808,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,90.69624450690809,-90.69624450690809,60.0,0.0,24.0,3.0,3.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,nan,nan,0.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.194743955410212,2.9036557669479013,60.0,0.0,24.0,2.0,3.0,1.5,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,5.879970517537373,1.8820956811080805,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,1.579717258158885,-1.5767532144238938,32.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,1.1061791139662245,-0.3462381182766507,57.0,23.0,23.0,4.0,3.0,0.75,0.0,1.0,10304.0,1.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,4.734917070634388,4.198932346903149,38.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,6.659626527776493,6.625850556873699,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
60,120,10,retrieval,1.0,l2,none,0.9,nan,1.25,1,cosine,50,1,nan,nan,2.9261592318282017,0.3820371641312278,60.0,0.0,24.0,2.0,2.0,1.0,0.0,0.0,11040.0,0.0,0.0
